distkm,solar_power,elevation_angle,bearing,speed_lim
109.8807,465.63089516162864,-0.00016614659342722356,88.29290116,130.0
111.255,510.7170688061711,-0.003322361355053792,79.69606186,100.0
112.4644,477.9282809860707,0.0024457788672456867,99.32595958,60.0
113.4721,300.5935642576217,0.0018633518773666197,121.4954137,60.0
114.6128,501.29867743396744,-0.000481474495976612,153.8167949,130.0
115.9545,546.6318102669709,-0.0036603057743735215,171.53556980000005,130.0
117.2959,807.8530394954686,-0.002355848690705359,144.3875531,130.0
118.63720000000002,520.105570515633,0.0008781070284617667,134.6185856,130.0
119.9785,501.8304517874717,0.001127790068335217,134.6178404,130.0
121.3201,522.9087145042419,-5.2248993691276383e-05,135.93609569999998,130.0
122.6613,516.720020562172,0.0029127807050830707,155.1310761,130.0
123.99700000000001,1189.93693913269,0.0013267858801396762,164.9971206,130.0
